#  Nr    Dist               Kx                 Ky                 Kz                 band1(1)           band2(1)           band3(1)           band4(1)           band5(0)           band6(0)           band7(0)           band8(0)           band9(0)           band10(0)          band11(0)          band12(0)         
  91     0.464743590000     0.285256410000     0.750000000000     1.110520264962    -2.697700000000    -1.912400000000     0.956500000000     2.288800000000    18.786700000000    20.679700000000    22.686200000000    23.166100000000    30.296800000000    32.146100000000    39.113200000000    41.471600000000
  92     0.461538460000     0.288461540000     0.750000000000     1.115053003278    -2.734000000000    -1.905500000000     0.920400000000     2.389500000000    18.600800000000    20.682300000000    22.754900000000    23.294800000000    30.208400000000    32.230500000000    38.982200000000    41.586900000000
  93     0.458333330000     0.291666670000     0.750000000000     1.119585741593    -2.769100000000    -1.900600000000     0.885600000000     2.492000000000    18.416100000000    20.683100000000    22.825700000000    23.423600000000    30.120100000000    32.315000000000    38.848500000000    41.703700000000
  94     0.455128210000     0.294871790000     0.750000000000     1.124118465766    -2.802800000000    -1.897700000000     0.851900000000     2.596000000000    18.233000000000    20.682300000000    22.898200000000    23.551900000000    30.032100000000    32.399600000000    38.712300000000    41.821600000000
  95     0.451923080000     0.298076920000     0.750000000000     1.128651204081    -2.835200000000    -1.896400000000     0.819500000000     2.701000000000    18.052200000000    20.680200000000    22.972200000000    23.679200000000    29.944400000000    32.484400000000    38.574000000000    41.940600000000
  96     0.448717950000     0.301282050000     0.750000000000     1.133183942396    -2.866300000000    -1.896400000000     0.788400000000     2.806600000000    17.874100000000    20.677000000000    23.047100000000    23.805100000000    29.857400000000    32.569300000000    38.433800000000    42.060500000000
  97     0.445512820000     0.304487180000     0.750000000000     1.137716680711    -2.896100000000    -1.897700000000     0.758400000000     2.912300000000    17.699200000000    20.672900000000    23.122700000000    23.929100000000    29.771100000000    32.654300000000    38.291900000000    42.181000000000
  98     0.442307690000     0.307692310000     0.750000000000     1.142249419026    -2.924500000000    -1.899900000000     0.729800000000     3.017600000000    17.527900000000    20.668100000000    23.198600000000    24.051000000000    29.685700000000    32.739600000000    38.148600000000    42.301900000000
  99     0.439102560000     0.310897440000     0.750000000000     1.146782157342    -2.951700000000    -1.903100000000     0.702100000000     3.122200000000    17.360300000000    20.659400000000    23.267900000000    24.170200000000    29.599400000000    32.823300000000    38.002800000000    42.422800000000
 100     0.435897440000     0.314102560000     0.750000000000     1.151314881515    -2.977500000000    -1.906800000000     0.676000000000     3.225700000000    17.197500000000    20.653800000000    23.343000000000    24.286700000000    29.516700000000    32.908900000000    37.857700000000    42.543900000000
 101     0.432692310000     0.317307690000     0.750000000000     1.155847619830    -3.002000000000    -1.911100000000     0.651200000000     3.327500000000    17.039500000000    20.647900000000    23.417500000000    24.399900000000    29.435500000000    32.994900000000    37.712300000000    42.664600000000
 102     0.429487180000     0.320512820000     0.750000000000     1.160380358145    -3.025200000000    -1.915700000000     0.627700000000     3.427200000000    16.886800000000    20.641800000000    23.490900000000    24.509500000000    29.356100000000    33.081200000000    37.566800000000    42.784600000000
 103     0.426282050000     0.323717950000     0.750000000000     1.164913096460    -3.047000000000    -1.920600000000     0.605500000000     3.524500000000    16.739800000000    20.635700000000    23.563100000000    24.615200000000    29.278700000000    33.167900000000    37.421600000000    42.903400000000
 104     0.423076920000     0.326923080000     0.750000000000     1.169445834775    -3.067500000000    -1.925600000000     0.585600000000     3.618900000000    16.599000000000    20.633900000000    23.633800000000    24.717000000000    29.203900000000    33.257200000000    37.277400000000    43.025500000000
 105     0.419871790000     0.330128210000     0.750000000000     1.173978573091    -3.086700000000    -1.930700000000     0.566100000000     3.709900000000    16.464600000000    20.627900000000    23.702400000000    24.813900000000    29.131400000000    33.344600000000    37.134000000000    43.140900000000
 106     0.416666670000     0.333333330000     0.750000000000     1.178511297264    -3.104500000000    -1.935800000000     0.547800000000     3.797100000000    16.337000000000    20.622100000000    23.774300000000    24.905900000000    29.064300000000    33.432200000000    36.992200000000    43.258200000000
 107     0.413461540000     0.336538460000     0.750000000000     1.183044035579    -3.121100000000    -1.940800000000     0.530900000000     3.880100000000    16.216800000000    20.616500000000    23.837800000000    24.992600000000    28.997600000000    33.520000000000    36.852400000000    43.367500000000
 108     0.410256410000     0.339743590000     0.750000000000     1.187576773894    -3.136400000000    -1.945800000000     0.515000000000     3.957200000000    16.102900000000    20.609800000000    23.893900000000    25.061300000000    28.930800000000    33.595900000000    36.712900000000    43.468500000000
 109     0.407051280000     0.342948720000     0.750000000000     1.192109512209    -3.150300000000    -1.950400000000     0.500800000000     4.030400000000    15.998500000000    20.604700000000    23.951000000000    25.136200000000    28.871300000000    33.683100000000    36.578900000000    43.569400000000
 110     0.403846150000     0.346153850000     0.750000000000     1.196642250524    -3.162900000000    -1.954700000000     0.487900000000     4.098100000000    15.902600000000    20.600100000000    24.004200000000    25.205000000000    28.816000000000    33.769700000000    36.448900000000    43.664900000000
 111     0.400641030000     0.349358970000     0.750000000000     1.201174974697    -3.174200000000    -1.958600000000     0.476300000000     4.159900000000    15.815600000000    20.595800000000    24.053200000000    25.267400000000    28.765300000000    33.855000000000    36.323700000000    43.754200000000
 112     0.397435900000     0.352564100000     0.750000000000     1.205707713012    -3.184100000000    -1.962200000000     0.466100000000     4.215500000000    15.737900000000    20.592100000000    24.097600000000    25.323100000000    28.719500000000    33.938200000000    36.204600000000    43.836200000000
 113     0.394230770000     0.355769230000     0.750000000000     1.210240451328    -3.192700000000    -1.965400000000     0.457300000000     4.264400000000    15.669800000000    20.588800000000    24.137000000000    25.371900000000    28.678900000000    34.018100000000    36.093000000000    43.909900000000
 114     0.391025640000     0.358974360000     0.750000000000     1.214773189643    -3.200000000000    -1.968000000000     0.450300000000     4.306900000000    15.611600000000    20.587700000000    24.159300000000    25.418300000000    28.649600000000    34.092200000000    35.996100000000    43.976700000000
